Bundesland,Jahr,Insgesamt,Steinkohle,Braunkohle,Mineralöle und Mineralölprodukte,Gase,Erneuerbare Energieträger,Strom,Fernwärme,andere Energieträger
Baden-Württemberg,2011,1026214,5377,5550,438030,210806,70596,246407,43721,5727
Bayern,2011,1391402,11168,7654,611411,283704,120678,304097,44272,8418
Berlin,2011,241218,1,556,89197,58395,3681,50208,39179,0
Brandenburg,2011,295571,20293,4648,90601,66992,38674,54694,17650,2018
Bremen,2011,113335,32748,337,24661,33217,1338,16901,4133,0
Hamburg,2011,177739,126,278,64238,47553,3137,46442,15966,0
Hessen,2011,762342,3991,2541,408801,145186,35401,131290,33248,1 884
Mecklenburg-Vorpommern,2011,135437,0,1710,60027,30772,9773,23299,9856,0
Niedersachsen,2011,914057,30689,4964,310515,299854,49000,185220,23634,10182
Nordrhein-Westfalen,2011,2097470,125861,38926,683843,579404,63860,438919,108001,58656
Rheinland-Pfalz,2011,458785,1046,3352,177399,123801,31216,101361,12948,7661
Saarland,2011,208145,75414,505,39544,54501,4827,29183,4170,0
Sachsen,2011,343204,1496,5982,127994,84321,20805,75302,26906,397
Sachsen-Anhalt,2011,305356,.,10078,74914,102447,27739,55442,29081,.
Schleswig-Holstein,2011,257370,277,2890,103229,70302,14042,50983,13432,2214
Thüringen,2011,206693,777,4831,71484,47759,20926,46495,11965,2456
Baden-Württemberg,2012,1011785,3509,5048,435270,205155,70046,244305,43419,5034
Bayern,2012,1410495,10529,7467,601360,290538,133516,307110,47001,12974
Berlin,2012,243593,2,547,94201,53501,4443,49917,40980,0
Brandenburg,2012,296725,16095,6130,92634,64144,38456,57133,20361,1774
Bremen,2012,111743,32992,1201,25033,29631,1085,17444,4357,0
Hamburg,2012,181407,116,209,64595,51180,3403,45217,16687,0
Hessen,2012,771444,3593,2735,416109,145364,34554,131834,35367,1 889
Mecklenburg-Vorpommern,2012,139877,228,1553,61291,33405,9762,23295,10344,0
Niedersachsen,2012,888393,30927,4617,309927,284318,46818,187808,21041,2935
Nordrhein-Westfalen,2012,2075105,119812,37645,709388,564001,62263,439225,108722,34050
Rheinland-Pfalz,2012,451980,928,3488,173307,123583,31362,100426,9919,8966
Saarland,2012,199029,71407,667,38307,48990,4090,31237,4332,0
Sachsen,2012,359910,1211,5763,135022,89399,21428,79135,27595,357
Sachsen-Anhalt,2012,316629,.,9976,76337,111184,27562,56449,29681,.
Schleswig-Holstein,2012,260012,348,2862,104603,71348,12145,50466,14549,3691
Thüringen,2012,209621,776,4635,72033,51052,20239,45513,12993,2380
Baden-Württemberg,2013,1059858,3113,4429,450146,227075,73847,247718,46991,6541
Bayern,2013,1438436,8995,7529,615820,286335,137856,316900,48911,16089
Berlin,2013,252085,2,577,97726,60774,4564,49027,39417,0
Brandenburg,2013,309742,21391,6217,95483,69404,40916,55685,18274,2371
Bremen,2013,111635,26254,4401,24129,33123,1033,17947,4747,0
Hamburg,2013,178700,123,205,66097,47307,3154,44801,17013,0
Hessen,2013,789798,3469,2385,428322,151376,36623,131408,34221,1995
Mecklenburg-Vorpommern,2013,143390,233,1700,61881,35034,9851,24475,10217,0
Niedersachsen,2013,903818,28142,3852,320755,286704,46175,192206,22934,3050
Nordrhein-Westfalen,2013,2087859,108403,38699,709831,613353,65270,431449,106010,14844
Rheinland-Pfalz,2013,466787,696,3243,177691,129362,32552,103474,10124,9646
Saarland,2013,195584,69454,924,39562,47693,4261,29234,4458,0
Sachsen,2013,367527,1251,6238,137881,92227,22367,78022,29147,395
Sachsen-Anhalt,2013,315424,.,9115,.,109810,28700,54917,29661,1883
Schleswig-Holstein,2013,267454,184,2193,106661,75739,11935,51563,15144,4036
Thüringen,2013,214692,562,4251,73353,52915,23142,45125,13205,2139
Baden-Württemberg,2014,994726,4394,4055,430495,202718,71052,236731,38015,7265
Bayern,2014,1332684,9398,6669,599155,260295,124368,272373,43386,17041
Berlin,2014,233468,1,387,95992,51005,3732,48326,34024,0
Brandenburg,2014,298893,21377,5630,94459,66409,33619,58640,17646,1112
Bremen,2014,118902,34908,3375,24218,31946,2062,18224,4168,0
Hamburg,2014,168703,88,183,65878,40221,3229,44702,14402,0
Hessen,2014,775084,3293,2344,433725,143456,32458,127416,30325,2067
Mecklenburg-Vorpommern,2014,139306,258,1521,61668,32027,9838,24511,9484,0
Niedersachsen,2014,883108,31722,3288,312873,285005,41494,184680,20017,4029
Nordrhein-Westfalen,2014,2033910,103937,36362,692484,585201,59123,441634,102051,13118
Rheinland-Pfalz,2014,440073,678,2977,173367,112586,29323,100962,9976,10205
Saarland,2014,199238,76101,762,37369,47409,4457,28924,4221,0
Sachsen,2014,349061,1405,5513,134320,82731,20477,79093,25133,390
Sachsen-Anhalt,2014,302936,.,9439,.,100792,26057,53870,30088,2314
Schleswig-Holstein,2014,252032,187,2225,102112,70332,11032,48974,13411,3760
Thüringen,2014,202701,560,4040,71163,47748,21326,45021,10918,1925
